rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
521,image-cpt,55,490710,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,56,492432,,null,FALSE,,,,,,,,,,,,,,,
398,image-cpt,57,494645,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,58,497867,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,59,501089,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,60,502812,,null,FALSE,,,,,,,,,,,,,,,
386,image-cpt,61,506033,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,62,507751,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,63,509964,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,64,513184,,null,FALSE,,,,,,,,,,,,,,,
382,image-cpt,65,515896,,32,TRUE,,,,,,,,,,,,,,,
502,image-cpt,66,518113,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,67,519835,,null,FALSE,,,,,,,,,,,,,,,
515,image-cpt,68,522053,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,69,524765,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,70,526486,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,71,528206,,null,FALSE,,,,,,,,,,,,,,,
